nodes	mode	score	sf	ntraj	len	tf	hd_frac	shd_frac	precision	recall	f1
5	asynchronous	MDL	1	3	3	0.2	0.280000	0.400000	0.500000	0.142857	0.222222
5	asynchronous	BDE	1	3	3	0.2	0.280000	0.400000	0.000000	0.000000	0.000000
5	asynchronous	MDL	1	3	3	0.4	0.280000	0.400000	0.500000	0.142857	0.222222
5	asynchronous	BDE	1	3	3	0.4	0.280000	0.400000	0.000000	0.000000	0.000000
5	asynchronous	MDL	1	3	3	0.6	0.320000	0.466667	0.000000	0.000000	0.000000
5	asynchronous	BDE	1	3	3	0.6	0.280000	0.400000	0.000000	0.000000	0.000000
5	asynchronous	MDL	1	3	3	0.8	0.320000	0.400000	0.333333	0.142857	0.200000
5	asynchronous	BDE	1	3	3	0.8	0.280000	0.400000	0.000000	0.000000	0.000000
5	asynchronous	MDL	1	3	6	0.2	0.400000	0.600000	0.000000	0.000000	0.000000
5	asynchronous	BDE	1	3	6	0.2	0.400000	0.600000	0.000000	0.000000	0.000000
5	asynchronous	MDL	1	3	6	0.4	0.360000	0.466667	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	6	0.4	0.320000	0.400000	0.333333	0.142857	0.200000
5	asynchronous	MDL	1	3	6	0.6	0.400000	0.600000	0.000000	0.000000	0.000000
5	asynchronous	BDE	1	3	6	0.6	0.400000	0.600000	0.000000	0.000000	0.000000
5	asynchronous	MDL	1	3	6	0.8	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	6	0.8	0.320000	0.466667	0.333333	0.142857	0.200000
5	asynchronous	MDL	1	3	9	0.2	0.320000	0.466667	0.333333	0.142857	0.200000
5	asynchronous	BDE	1	3	9	0.2	0.320000	0.466667	0.333333	0.142857	0.200000
5	asynchronous	MDL	1	3	9	0.4	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	9	0.4	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	9	0.6	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	BDE	1	3	9	0.6	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	MDL	1	3	9	0.8	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	BDE	1	3	9	0.8	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	MDL	1	3	12	0.2	0.320000	0.466667	0.333333	0.142857	0.200000
5	asynchronous	BDE	1	3	12	0.2	0.320000	0.466667	0.333333	0.142857	0.200000
5	asynchronous	MDL	1	3	12	0.4	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	12	0.4	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	12	0.6	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	12	0.6	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	12	0.8	0.400000	0.600000	0.000000	0.000000	0.000000
5	asynchronous	BDE	1	3	12	0.8	0.400000	0.600000	0.000000	0.000000	0.000000
5	asynchronous	MDL	1	3	15	0.2	0.360000	0.466667	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	15	0.2	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	15	0.4	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	15	0.4	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	15	0.6	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	15	0.6	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	15	0.8	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	BDE	1	3	15	0.8	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	MDL	1	3	18	0.2	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	18	0.2	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	18	0.4	0.360000	0.533333	0.333333	0.285714	0.307692
5	asynchronous	BDE	1	3	18	0.4	0.360000	0.533333	0.333333	0.285714	0.307692
5	asynchronous	MDL	1	3	18	0.6	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	18	0.6	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	18	0.8	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	18	0.8	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	21	0.2	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	BDE	1	3	21	0.2	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	MDL	1	3	21	0.4	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	BDE	1	3	21	0.4	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	MDL	1	3	21	0.6	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	21	0.6	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	21	0.8	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	21	0.8	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	24	0.2	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	24	0.2	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	24	0.4	0.400000	0.600000	0.000000	0.000000	0.000000
5	asynchronous	BDE	1	3	24	0.4	0.400000	0.600000	0.000000	0.000000	0.000000
5	asynchronous	MDL	1	3	24	0.6	0.520000	0.800000	0.000000	0.000000	0.000000
5	asynchronous	BDE	1	3	24	0.6	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	MDL	1	3	24	0.8	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	24	0.8	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	27	0.2	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	BDE	1	3	27	0.2	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	MDL	1	3	27	0.4	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	27	0.4	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	27	0.6	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	27	0.6	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	27	0.8	0.320000	0.466667	0.333333	0.142857	0.200000
5	asynchronous	BDE	1	3	27	0.8	0.320000	0.466667	0.333333	0.142857	0.200000
5	asynchronous	MDL	1	3	30	0.2	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	BDE	1	3	30	0.2	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	MDL	1	3	30	0.4	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	BDE	1	3	30	0.4	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	MDL	1	3	30	0.6	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	30	0.6	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	30	0.8	0.320000	0.533333	0.333333	0.142857	0.200000
5	asynchronous	BDE	1	3	30	0.8	0.320000	0.533333	0.333333	0.142857	0.200000
5	asynchronous	MDL	1	3	33	0.2	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	BDE	1	3	33	0.2	0.400000	0.600000	0.200000	0.142857	0.166667
5	asynchronous	MDL	1	3	33	0.4	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	33	0.4	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	33	0.6	0.320000	0.533333	0.333333	0.142857	0.200000
5	asynchronous	BDE	1	3	33	0.6	0.320000	0.466667	0.333333	0.142857	0.200000
5	asynchronous	MDL	1	3	33	0.8	0.320000	0.533333	0.333333	0.142857	0.200000
5	asynchronous	BDE	1	3	33	0.8	0.320000	0.533333	0.333333	0.142857	0.200000
5	asynchronous	MDL	1	3	36	0.2	0.360000	0.466667	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	36	0.2	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	36	0.4	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	36	0.4	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	36	0.6	0.320000	0.533333	0.400000	0.285714	0.333333
5	asynchronous	BDE	1	3	36	0.6	0.320000	0.533333	0.400000	0.285714	0.333333
5	asynchronous	MDL	1	3	36	0.8	NA	NA	NA	NA	NA
5	asynchronous	BDE	1	3	36	0.8	NA	NA	NA	NA	NA
5	asynchronous	MDL	1	3	39	0.2	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	BDE	1	3	39	0.2	0.320000	0.466667	0.333333	0.142857	0.200000
5	asynchronous	MDL	1	3	39	0.4	0.320000	0.533333	0.400000	0.285714	0.333333
5	asynchronous	BDE	1	3	39	0.4	0.360000	0.533333	0.250000	0.142857	0.181818
5	asynchronous	MDL	1	3	39	0.6	0.320000	0.533333	0.333333	0.142857	0.200000
5	asynchronous	BDE	1	3	39	0.6	0.320000	0.533333	0.333333	0.142857	0.200000
5	asynchronous	MDL	1	3	39	0.8	NA	NA	NA	NA	NA
5	asynchronous	BDE	1	3	39	0.8	NA	NA	NA	NA	NA
5	asynchronous	MDL	1	6	3	0.2	0.320000	0.466667	0.333333	0.142857	0.200000
5	asynchronous	BDE	1	6	3	0.2	0.320000	0.466667	0.333333	0.142857	0.200000
5	asynchronous	MDL	1	6	3	0.4	0.320000	0.466667	0.333333	0.142857	0.200000
5	asynchronous	BDE	1	6	3	0.4	0.320000	0.466667	0.333333	0.142857	0.200000
5	asynchronous	MDL	1	6	3	0.6	0.360000	0.533333	0.000000	0.000000	0.000000
5	asynchronous	BDE	1	6	3	0.6	0.360000	0.533333	0.000000	0.000000	0.000000
5	asynchronous	MDL	1	6	3	0.8	0.360000	0.533333	0.000000	0.000000	0.000000
5	asynchronous	BDE	1	6	3	0.8	0.360000	0.533333	0.000000	0.000000	0.000000
5	asynchronous	MDL	1	6	6	0.2	0.320000	0.466667	0.333333	0.142857	0.200000
